state,overall_score,reading_testing_ed_score,math_testing_ed_score,enrollment_score,missing_categories,index_!!reading_testing_ed,state_!!reading_testing_ed,student_n_!!reading_testing_ed,std_dev_!!reading_testing_ed,percentile_!!reading_testing_ed,group_!!reading_testing_ed,score_!!reading_testing_ed,index_!!math_testing_ed,state_!!math_testing_ed,student_n_!!math_testing_ed,std_dev_!!math_testing_ed,percentile_!!math_testing_ed,group_!!math_testing_ed,score_!!math_testing_ed,state_!!enrollment,enrollment_1920_!!enrollment,enrollment_2021_!!enrollment,enrollment_change_!!enrollment,Unnamed: 4_!!enrollment,std_dev_!!enrollment,zscore_!!enrollment,percentile_!!enrollment,score_!!enrollment
MO,69.38677152487344,33.333333,22.222222000000002,13.831216524873433,,40.0,MO,62242.0,0.02995042520964488,1.0,Little or no learning loss,33.333333,39.0,MO,46498.0,0.052257483187983685,0.6666666666666666,Some learning loss,22.222222000000002,MO,876357.0,855214.0,-0.024126013,,0.009828542394102564,-0.21486445325018425,0.41493649989556797,13.831216524873433
RI,67.09158368724178,33.333333,22.222222000000002,11.536028687241767,,33.0,RI,8878.0,0.02995042520964488,1.0,Little or no learning loss,33.333333,26.0,RI,8597.0,0.052257483187983685,0.6666666666666666,Some learning loss,22.222222000000002,RI,140549.0,136908.0,-0.025905556,,0.009828542394102564,-0.39592314218332453,0.34608086407806166,11.536028687241767
UT,65.96418600728583,22.222222000000002,11.111111000000001,32.630853007285836,,43.0,UT,8997.0,0.02995042520964488,0.6666666666666666,Some learning loss,22.222222000000002,47.0,UT,12216.0,0.052257483187983685,0.3333333333333333,Most learning loss,11.111111000000001,UT,667927.0,666563.0,-0.002042139,,0.009828542394102564,2.032047969211464,0.9789256000078309,32.630853007285836
OH,64.32791758684453,22.222222000000002,22.222222000000002,19.88347358684453,,10.0,OH,305469.0,0.02995042520964488,0.6666666666666666,Some learning loss,22.222222000000002,13.0,OH,154601.0,0.052257483187983685,0.6666666666666666,Some learning loss,22.222222000000002,OH,1647478.0,1615166.0,-0.019613008,,0.009828542394102564,0.24430892353739986,0.596504213570378,19.88347358684453
WI,63.5835850739804,22.222222000000002,22.222222000000002,19.1391410739804,,13.0,WI,95615.0,0.02995042520964488,0.6666666666666666,Some learning loss,22.222222000000002,16.0,WI,64157.0,0.052257483187983685,0.6666666666666666,Some learning loss,22.222222000000002,WI,799062.0,782940.0,-0.020176157,,0.009828542394102564,0.18701161764818622,0.5741742379611543,19.1391410739804
NJ,63.195508729876494,22.222222000000002,22.222222000000002,18.751064729876486,,22.0,NJ,28561.0,0.02995042520964488,0.6666666666666666,Some learning loss,22.222222000000002,28.0,NJ,24155.0,0.052257483187983685,0.6666666666666666,Some learning loss,22.222222000000002,NJ,1280141.0,1253940.0,-0.020467277,,0.009828542394102564,0.15739176270665592,0.562531947521614,18.751064729876486
TX,61.069042241160524,11.111111000000001,22.222222000000002,27.73570924116052,,9.0,TX,506617.0,0.02995042520964488,0.3333333333333333,Most learning loss,11.111111000000001,19.0,TX,244136.0,0.052257483187983685,0.6666666666666666,Some learning loss,22.222222000000002,TX,5220228.0,5154686.0,-0.01255539,,0.009828542394102564,0.9623826436278575,0.8320712855555285,27.73570924116052
IN,60.69220475920632,11.111111000000001,22.222222000000002,27.358871759206316,,14.0,IN,162551.0,0.02995042520964488,0.3333333333333333,Most learning loss,11.111111000000001,11.0,IN,51157.0,0.052257483187983685,0.6666666666666666,Some learning loss,22.222222000000002,IN,1028581.0,1015221.0,-0.012988768,,0.009828542394102564,0.918288821510344,0.820766160983851,27.358871759206316
AR,60.20724234485361,11.111111000000001,22.222222000000002,26.873909344853605,,7.0,AR,82095.0,0.02995042520964488,0.3333333333333333,Most learning loss,11.111111000000001,5.0,AR,30267.0,0.052257483187983685,0.6666666666666666,Some learning loss,22.222222000000002,AR,479147.0,472668.0,-0.013521946,,0.009828542394102564,0.8640408996292801,0.806217288407781,26.873909344853605
IA,60.16443749095572,11.111111000000001,22.222222000000002,26.831104490955717,,12.0,IA,37277.0,0.02995042520964488,0.3333333333333333,Most learning loss,11.111111000000001,18.0,IA,12454.0,0.052257483187983685,0.6666666666666666,Some learning loss,22.222222000000002,IA,485856.0,479264.0,-0.013567806,,0.009828542394102564,0.8593748974734042,0.8049331427780029,26.831104490955717
TN,59.77734329004926,33.333333,11.111111000000001,15.332899290049255,,30.0,TN,64659.0,0.02995042520964488,1.0,Little or no learning loss,33.333333,35.0,TN,53301.0,0.052257483187983685,0.3333333333333333,Most learning loss,11.111111000000001,TN,981321.0,958749.0,-0.023001648,,0.009828542394102564,-0.10046651356437114,0.45998698330134746,15.332899290049255
CO,57.066424446754354,22.222222000000002,22.222222000000002,12.621980446754351,,19.0,CO,121336.0,0.02995042520964488,0.6666666666666666,Some learning loss,22.222222000000002,15.0,CO,46241.0,0.052257483187983685,0.6666666666666666,Some learning loss,22.222222000000002,CO,878798.0,856783.0,-0.025051263,,0.009828542394102564,-0.30900353948490183,0.3786594171892247,12.621980446754351
NH,57.05306202649804,33.333333,22.222222000000002,1.4975070264980355,,36.0,NH,5668.0,0.02995042520964488,1.0,Little or no learning loss,33.333333,32.0,NH,5956.0,0.052257483187983685,0.6666666666666666,Some learning loss,22.222222000000002,NH,172779.0,166095.0,-0.038685257,,0.009828542394102564,-1.6961872594412635,0.04492521124419317,1.4975070264980355
VT,51.02574490329866,22.222222000000002,22.222222000000002,6.581300903298652,,23.0,VT,3033.0,0.02995042520964488,0.6666666666666666,Some learning loss,22.222222000000002,27.0,VT,3379.0,0.052257483187983685,0.6666666666666666,Some learning loss,22.222222000000002,VT,78087.0,75715.0,-0.030376375,,0.009828542394102564,-0.8508043260588333,0.19743902907334981,6.581300903298652
MA,50.79108975847674,33.333333,11.111111000000001,6.346645758476734,,26.0,MA,15641.0,0.02995042520964488,1.0,Little or no learning loss,33.333333,21.0,MA,14382.0,0.052257483187983685,0.3333333333333333,Most learning loss,11.111111000000001,MA,925781.0,897426.0,-0.030628194,,0.009828542394102564,-0.8764255209321544,0.19039937465829576,6.346645758476734
IL,49.999999250000016,11.111111000000001,22.222222000000002,,1.0,5.0,IL,231353.0,0.02995042520964488,0.3333333333333333,Most learning loss,11.111111000000001,6.0,IL,80225.0,0.052257483187983685,0.6666666666666666,Some learning loss,22.222222000000002,,,,,,,,,
AK,49.53238189554361,11.111111000000001,11.111111000000001,27.310159895543606,,18.0,AK,18330.0,0.02995042520964488,0.3333333333333333,Most learning loss,11.111111000000001,9.0,AK,4263.0,0.052257483187983685,0.3333333333333333,Most learning loss,11.111111000000001,AK,128033.0,126363.0,-0.013043512,,0.009828542394102564,0.9127189213354362,0.8193048050593561,27.310159895543606
OR,46.43513892364741,33.333333,11.111111000000001,1.9906949236474034,,35.0,OR,13432.0,0.02995042520964488,1.0,Little or no learning loss,33.333333,34.0,OR,16107.0,0.052257483187983685,0.3333333333333333,Most learning loss,11.111111000000001,OR,582661.0,560917.0,-0.037318441,,0.009828542394102564,-1.55712126723268,0.05972084830663058,1.9906949236474034
AZ,46.02646396889352,22.222222000000002,11.111111000000001,12.693130968893522,,31.0,AZ,27848.0,0.02995042520964488,0.6666666666666666,Some learning loss,22.222222000000002,23.0,AZ,15564.0,0.052257483187983685,0.3333333333333333,Most learning loss,11.111111000000001,AZ,1130414.0,1102158.0,-0.024996152,,0.009828542394102564,-0.3033962990834087,0.38079393287474494,12.693130968893522
