state,Jan_change_2021_19,Feb_change_2021_19,Mar_change_2021_19,Mar_change_2020_19,Apr_change_2021_19,Apr_change_2020_19,May_change_2021_19,May_change_2020_19,Jun_change_2021_19,Jun_change_2020_19,Jul_change_2021_19,Jul_change_2020_19,Aug_change_2021_19,Aug_change_2020_19,Sep_change_2021_19,Sep_change_2020_19,Oct_change_2021_19,Oct_change_2020_19,Nov_change_2020_19,Dec_change_2020_19,mean_unemp_changes,std_dev,zscore,percentile
AR,1.2777777777777777,1.25,1.2571428571428573,1.1142857142857143,1.2941176470588236,2.9411764705882355,1.2941176470588236,2.5,1.2571428571428573,2.2285714285714286,1.2285714285714284,2.0285714285714285,1.2,1.8571428571428572,1.1428571428571428,1.6857142857142857,1.0571428571428572,1.5999999999999999,1.5142857142857142,1.3611111111111112,1.5544864612511673,0.5396011334179114,-0.7029490101880237,0.7589562366803839
GA,1.3076923076923077,1.263157894736842,1.2162162162162162,0.9729729729729729,1.1944444444444444,3.4722222222222223,1.1388888888888888,2.611111111111111,1.1428571428571428,2.4,1.0571428571428572,2.1714285714285713,1.0,2.0,0.9705882352941176,1.911764705882353,0.9393939393939394,1.787878787878788,1.696969696969697,1.6060606060606062,1.5930395300596536,0.5396011334179114,-0.6315016643229666,0.7361437193232473
WI,1.225806451612903,1.225806451612903,1.1874999999999998,1.0,1.21875,4.625,1.1818181818181819,3.151515151515152,1.1818181818181819,2.606060606060606,1.1470588235294117,2.1176470588235294,1.1470588235294117,1.7941176470588234,1.0,1.5294117647058825,0.9696969696969698,1.4545454545454546,1.3333333333333335,1.2121212121212122,1.615453305589098,0.5396011334179114,-0.589963991139309,0.7223926044729129
ID,1.206896551724138,1.1379310344827587,1.142857142857143,0.9642857142857144,1.1071428571428572,4.142857142857143,1.0714285714285714,2.964285714285715,1.0714285714285714,2.5,1.0714285714285714,2.107142857142857,1.0357142857142858,1.7500000000000002,1.074074074074074,2.222222222222222,1.037037037037037,1.7777777777777777,1.6538461538461537,1.52,1.6279178139867796,0.5396011334179114,-0.5668645059348775,0.7145968796590095
KS,1.0303030303030303,1.1515151515151516,1.15625,1.0,1.129032258064516,4.064516129032258,1.129032258064516,2.903225806451613,1.1935483870967742,2.258064516129032,1.225806451612903,2.129032258064516,1.225806451612903,2.0,1.2580645161290323,1.9677419354838708,1.2580645161290323,1.5161290322580645,1.5161290322580645,1.5161290322580645,1.6314195381231673,0.5396011334179114,-0.5603750382159953,0.7123881729216408
MO,1.3437499999999998,1.3437499999999998,1.3125,1.15625,1.3225806451612903,4.032258064516129,1.3548387096774195,3.096774193548387,1.3437499999999998,2.5312499999999996,1.3125,2.125,1.2121212121212122,1.8181818181818183,1.1176470588235294,1.5882352941176472,1.0882352941176472,1.4705882352941178,1.342857142857143,1.2571428571428573,1.65851052627796,0.5396011334179114,-0.5101694576917395,0.6950336261904191
NM,1.673076923076923,1.627450980392157,1.627450980392157,1.058823529411765,1.5882352941176472,1.9607843137254903,1.58,2.0,1.58,1.9600000000000002,1.52,2.5,1.44,1.86,1.3800000000000001,1.72,1.3265306122448979,1.7346938775510203,1.7346938775510203,1.72,1.679587019423154,0.5396011334179114,-0.4711100639286235,0.6812189306577628
OH,1.2325581395348837,1.1904761904761905,1.1463414634146343,1.1951219512195124,1.175,4.1,1.25,3.725,1.2682926829268295,2.51219512195122,1.2857142857142858,2.2142857142857144,1.2857142857142858,2.142857142857143,1.2619047619047619,1.7619047619047619,1.2142857142857142,1.3333333333333333,1.3333333333333333,1.3023255813953487,1.6965322232125977,0.5396011334179114,-0.43970686119235347,0.6699252837069509
AL,1.1944444444444444,1.1428571428571428,1.1515151515151516,0.787878787878788,1.125,4.124999999999999,1.096774193548387,2.5483870967741935,1.1379310344827587,2.6551724137931036,1.103448275862069,2.5517241379310347,1.1071428571428572,2.5357142857142856,1.1071428571428572,2.3928571428571432,1.1071428571428572,1.6785714285714288,1.7407407407407407,1.7407407407407407,1.701509279456999,0.5396011334179114,-0.4304832774447138,0.6665779357145662
OK,1.375,1.375,1.3870967741935483,1.032258064516129,1.3225806451612903,4.193548387096774,1.3,3.1666666666666665,1.2333333333333334,2.733333333333333,1.129032258064516,2.3225806451612905,1.064516129032258,2.032258064516129,0.9677419354838709,1.8387096774193548,0.8709677419354839,1.6774193548387097,1.5483870967741935,1.5,1.7035215053763442,0.5396011334179114,-0.42675417868133764,0.6652208078899925
NC,1.475,1.425,1.3,0.975,1.2820512820512822,3.4615384615384617,1.2307692307692308,3.4615384615384617,1.2105263157894737,2.3157894736842106,1.1578947368421053,2.3157894736842106,1.162162162162162,1.8378378378378377,1.162162162162162,1.9729729729729728,1.1388888888888888,1.8888888888888888,1.8285714285714287,1.7428571428571427,1.7172619460119456,0.5396011334179114,-0.4012901094186074,0.6558967276878014
MN,1.40625,1.375,1.3125,1.09375,1.2812499999999998,2.8125,1.2903225806451613,3.645161290322581,1.2903225806451613,2.870967741935484,1.2580645161290323,2.451612903225806,1.225806451612903,2.129032258064516,1.1935483870967742,1.8709677419354838,1.129032258064516,1.7096774193548385,1.6129032258064515,1.5161290322580645,1.723739919354839,0.5396011334179114,-0.3892849950077813,0.6514673325569328
LA,1.6170212765957446,1.6521739130434783,1.6818181818181817,1.2045454545454544,1.6363636363636362,2.977272727272727,1.6511627906976745,3.046511627906977,1.5681818181818181,2.1363636363636362,1.4666666666666666,2.022222222222222,1.3191489361702127,1.7446808510638296,1.2083333333333333,1.6666666666666667,1.1020408163265305,1.6122448979591837,1.6122448979591837,1.58,1.7252832175578576,0.5396011334179114,-0.3864249228036273,0.6504090024306579
IA,1.3333333333333333,1.3703703703703702,1.3703703703703702,1.074074074074074,1.4074074074074072,4.111111111111111,1.4444444444444444,3.074074074074074,1.4814814814814814,2.6296296296296293,1.4642857142857142,2.1785714285714284,1.4642857142857142,1.892857142857143,1.4285714285714286,1.6785714285714288,1.392857142857143,1.5000000000000002,1.392857142857143,1.3214285714285716,1.7505291005291006,0.5396011334179114,-0.33963872943273515,0.6329356958900654
WA,1.3333333333333333,1.2444444444444445,1.25,1.2045454545454544,1.2558139534883723,3.790697674418605,1.2380952380952381,2.9761904761904763,1.2682926829268295,2.634146341463415,1.2439024390243902,2.634146341463415,1.2439024390243902,2.2195121951219514,1.275,2.0,1.2820512820512822,1.794871794871795,1.717948717948718,1.6153846153846154,1.7611139711898356,0.5396011334179114,-0.3200226278250738,0.6255244113287115
