"Food Scarcity, Household Pulse Survey","","","","","","",""
"Adults in households where there was either sometimes or often not enough to eat in the last 7 days","","","","","","",""
"","","Total Food Scarcity","","Percent Food Scarcity","","",""
"Week","Area","Number","Margin of Error +/-","Percent","MOE +/-","Measure Universe","Total Population age 18+"
"36","Vermont","27953","12172","6.4","2.8","436215","485680"
"36","Virginia","300166","93549","5.3","1.7","5626521","6511643"
"36","Washington","367669","98962","6.8","1.8","5401495","5950326"
"36","West Virginia","76217","22115","6.5","1.9","1180272","1377441"
"36","Wisconsin","247700","83748","6.4","2.1","3870178","4454731"
"36","Wyoming","37815","14806","9.4","3.7","401066","438527"
"36","Atlanta-Sandy Springs-Alpharetta, GA Metro Area","438200","117137","10.7","2.6","4100882","4722853"
"36","Boston-Cambridge-Newton, MA-NH Metro Area","205179","70330","6.3","2.1","3239185","3765844"
"36","Chicago-Naperville-Elgin, IL-IN-WI Metro Area","408799","145152","6.8","2.3","6017443","7187683"
"36","Dallas-Fort Worth-Arlington, TX Metro Area","276365","83106","5.6","1.7","4957091","5865110"
"36","Detroit-Warren-Dearborn, MI Metro Area","246270","83698","8.9","3","2779491","3354980"
"36","Houston-The Woodlands-Sugar Land, TX Metro Area","538796","167523","10.2","2.9","5270964","5968202"
"36","Los Angeles-Long Beach-Anaheim, CA Metro Area","849030","265738","9.8","3","8707522","10241502"
"36","Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","536441","206016","13.7","4.8","3912939","4981693"
"36","New York-Newark-Jersey City, NY-NJ-PA Metro Area","1130422","311231","9.7","2.6","11714107","14277750"
"36","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","326580","92560","7.8","2.1","4181213","4823747"
"36","Phoenix-Mesa-Chandler, AZ Metro Area","269475","92219","7.8","2.5","3474810","3984185"
"36","Riverside-San Bernardino-Ontario, CA Metro Area","443047","152851","12.7","4.2","3480477","4292644"
"36","San Francisco-Oakland-Berkeley, CA Metro Area","208128","109173","7.3","3.6","2841658","3386397"
"36","Seattle-Tacoma-Bellevue, WA Metro Area","139767","48233","4.9","1.6","2868951","3143250"
"36","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","287374","88329","6.9","2.1","4135912","4716221"
"35","United States","16726322","806354","7.8","0.4","214561208","250265449"
"35","Alabama","361842","103469","11.4","3.3","3183780","3737637"
"35","Alaska","35909","9640","7.6","2","470214","525308"
"35","Arizona","305932","77423","6","1.5","5069798","5753909"
"35","Arkansas","204790","53992","10.5","2.8","1943601","2264877"
"35","California","2130053","351875","8.5","1.4","25138176","29807656"
"35","Colorado","361219","91305","8.9","2.2","4069797","4504323"
"35","Connecticut","215314","59980","9.1","2.5","2365306","2724164"
"35","Delaware","48033","19198","7.3","3","657688","767878"
"35","District of Columbia","53851","17458","10.9","3.5","495824","546656"
"35","Florida","1350173","243891","9.3","1.7","14498021","17254676"
"35","Georgia","508770","167615","7.6","2.5","6672594","8033423"
"35","Hawaii","57178","21558","6.1","2.2","942302","1065941"
"35","Idaho","59634","19834","4.9","1.6","1207751","1382940"
"35","Illinois","572556","159430","7.1","2","8043495","9479736"
"35","Indiana","260511","72971","5.9","1.6","4410772","5029256"
"35","Iowa","181959","49145","8.9","2.4","2037223","2349714"
"35","Kansas","107720","34464","5.7","1.8","1893943","2146524"
"35","Kentucky","212475","54942","7.4","1.9","2871305","3358135"
"35","Louisiana","265460","59094","9.3","2.1","2861937","3432241"
"35","Maine","25420","11896","2.7","1.3","942443","1073016"
"35","Maryland","244806","58038","6.2","1.5","3921263","4585752"
"35","Massachusetts","282656","91499","6.2","2","4548545","5309617"
"35","Michigan","490024","136753","7.3","2","6693589","7631231"
"35","Minnesota","168794","51514","4.5","1.4","3775422","4250165"
"35","Mississippi","215163","67412","12.1","3.7","1778386","2186321"
