"Difficulty Paying for Usual Household Expenses, Household Pulse Survey","","","","","","",""
"Adults in households where it has been somewhat or very difficult to pay for usual household expenses in the last 7 days","","","","","","",""
"","","Total Difficulty Paying for Usual Household Expenses","","Percent Difficulty Paying for Usual Household Expenses","","",""
"Week","Area","Number","Margin of Error +/-","Percent","MOE +/-","Measure Universe","Total Population age 18+"
"15","District of Columbia","164058","21436","31.2","4","526074","542635"
"15","Florida","5359875","323137","32.7","2","16412001","17085385"
"15","Georgia","2709741","218033","35.1","2.8","7715791","7955983"
"15","Hawaii","388014","36560","37.3","3.5","1039911","1073229"
"15","Idaho","398067","41135","30.7","3.1","1297504","1343198"
"15","Illinois","3088873","251641","33.2","2.6","9292584","9546424"
"15","Indiana","1358798","120269","27.9","2.4","4878586","5015550"
"15","Iowa","625232","72254","27.1","3.1","2303004","2342905"
"15","Kansas","605279","51651","28.9","2.5","2095695","2140957"
"15","Kentucky","1019395","95875","31.7","2.9","3214073","3344102"
"15","Louisiana","1296457","93277","39.6","2.7","3273564","3431432"
"15","Maine","264985","37092","25.6","3.6","1035781","1065620"
"15","Maryland","1492882","120797","33.6","2.7","4440014","4586920"
"15","Massachusetts","1452096","119750","28.3","2.4","5137365","5324065"
"15","Michigan","2069508","169942","28.1","2.4","7374512","7644458"
"15","Minnesota","968916","98630","23.5","2.3","4128376","4241624"
"15","Mississippi","851166","77559","40.2","3.7","2116413","2189670"
"15","Missouri","1234309","125757","27.5","2.7","4492386","4617880"
"15","Montana","229348","26301","28.7","3.4","800015","822204"
"15","Nebraska","347488","38605","25.5","2.8","1362031","1418191"
"15","Nevada","896381","83089","38.5","3.6","2330433","2399457"
"15","New Hampshire","233841","32273","22.8","3.1","1025809","1073014"
"15","New Jersey","2146981","189505","33","2.8","6512306","6776822"
"15","New Mexico","603790","41133","39.7","2.7","1521571","1589574"
"15","New York","4432859","405084","31.3","2.8","14179069","14847080"
"15","North Carolina","2399843","266348","30.6","3.3","7846065","8017566"
"15","North Dakota","134842","17248","24.8","3.3","544309","561016"
"15","Ohio","2727507","244724","31.9","2.9","8558329","8822539"
"15","Oklahoma","1006166","83502","35.9","2.8","2801235","2916436"
"15","Oregon","971036","72953","30.2","2.2","3216534","3302727"
"15","Pennsylvania","2535383","256716","26.8","2.7","9448079","9776154"
"15","Rhode Island","255294","28895","32.1","3.6","796523","817559"
"15","South Carolina","1300826","110883","33.9","2.9","3840997","3969123"
"15","South Dakota","165317","24515","26.4","3.8","626476","642658"
"15","Tennessee","1645842","144824","32.8","2.8","5011021","5221475"
"15","Texas","7896489","453488","38.2","2.1","20672232","21356906"
"15","Utah","573920","43247","25.7","1.9","2235324","2281207"
"15","Vermont","111234","17482","23.2","3.6","478745","485485"
"15","Virginia","1835387","146708","29.4","2.3","6250963","6472737"
"15","Washington","1508727","120833","26.1","2.1","5775227","5890357"
"15","West Virginia","443278","53736","33.9","4.1","1306751","1379576"
"15","Wisconsin","967497","110744","22.5","2.6","4306996","4438719"
"15","Wyoming","107073","14300","25.4","3.4","421248","433400"
"15","Atlanta-Sandy Springs-Alpharetta, GA Metro Area","1533487","161390","35.3","3","4349253","4493900"
"15","Boston-Cambridge-Newton, MA-NH Metro Area","988838","83771","26.9","2.2","3677150","3767937"
"15","Chicago-Naperville-Elgin, IL-IN-WI Metro Area","2296661","228852","35.2","2.9","6515499","6723068"
"15","Dallas-Fort Worth-Arlington, TX Metro Area","2011506","298976","36.2","3.9","5550676","5686092"
"15","Detroit-Warren-Dearborn, MI Metro Area","1039772","112203","31","2.9","3354483","3530633"
"15","Houston-The Woodlands-Sugar Land, TX Metro Area","2177878","280754","41.6","3.6","5238388","5443560"
"15","Los Angeles-Long Beach-Anaheim, CA Metro Area","3544787","395666","36.1","3.4","9810903","10135334"
"15","Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","1724046","249018","38.1","4.2","4528910","4707384"
"15","New York-Newark-Jersey City, NY-NJ-PA Metro Area","4538493","382668","34","2.8","13350591","14043058"
"15","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","1428526","165309","29.9","2.9","4770523","4955297"
"15","Phoenix-Mesa-Chandler, AZ Metro Area","1216910","118478","32.2","2.7","3776921","3833214"
"15","Riverside-San Bernardino-Ontario, CA Metro Area","1371957","209742","37.8","4.3","3629033","3807700"
"15","San Francisco-Oakland-Berkeley, CA Metro Area","883742","148126","26.7","3.8","3314248","3399258"
"15","Seattle-Tacoma-Bellevue, WA Metro Area","834033","73963","27.3","2.1","3056131","3104420"
"15","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","1181179","116194","27.3","2.5","4323955","4476206"
"16","United States","77534553","1419021","32.2","0.6","240977583","249170916"
"16","Alabama","1222161","133537","34.5","3.6","3545896","3717378"
"16","Alaska","164426","14004","32.5","2.7","505368","524925"
"16","Arizona","1835594","150844","33.3","2.7","5506535","5597268"
"16","Arkansas","803073","71676","37","3.3","2169677","2246527"
"16","California","10207103","613872","35.6","2.1","28674185","29939021"
"16","Colorado","1099315","89512","25.1","2.1","4385586","4454718"
"16","Connecticut","856687","61169","32.8","2.4","2611822","2732423"
"16","Delaware","229833","27453","31.9","3.7","721299","754637"
"16","District of Columbia","152369","17587","29.1","3.2","523747","542635"
"16","Florida","5657820","341205","34.8","2.1","16274652","17085385"
"16","Georgia","2811446","241244","36.7","3.3","7656379","7955983"
"16","Hawaii","392388","41197","37.8","3.8","1037045","1073229"
"16","Idaho","328132","35975","25.2","2.8","1302752","1343198"
"16","Illinois","3007929","235865","32.4","2.5","9272662","9546424"
"16","Indiana","1461207","119413","30.2","2.5","4831483","5015550"
"16","Iowa","679746","73890","29.9","3.1","2275870","2342905"
"16","Kansas","633096","60112","30.2","2.9","2093650","2140957"
"16","Kentucky","967389","110047","30","3.4","3222007","3344102"
"16","Louisiana","1337448","122205","40","3.7","3342560","3431432"
"16","Maine","303454","39459","29.3","3.7","1036879","1065620"
"16","Maryland","1288603","120824","29","2.6","4437796","4586920"
"16","Massachusetts","1445570","105542","28.1","1.9","5146406","5324065"
"16","Michigan","2157472","219862","29.3","2.9","7367112","7644458"
"16","Minnesota","966107","100538","23.4","2.4","4127840","4241624"
"16","Mississippi","868631","78188","41.4","3.7","2098570","2189670"
"16","Missouri","1405146","111809","31.2","2.4","4508894","4617880"
"16","Montana","208299","26636","26.2","3.3","795317","822204"
"16","Nebraska","379390","42972","27.7","3.2","1371027","1418191"
"16","Nevada","895350","67807","38.2","2.9","2343027","2399457"
"16","New Hampshire","247994","31885","23.6","3","1049529","1073014"
"16","New Jersey","1880147","156038","28.5","2.3","6599659","6776822"
"16","New Mexico","545381","61012","35.5","3.7","1537283","1589574"
"16","New York","5286924","394519","36.7","2.7","14413298","14847080"
"16","North Carolina","2362923","229322","30.5","3","7736512","8017566"
"16","North Dakota","129019","16606","23.7","3","544493","561016"
"16","Ohio","2352537","224657","27.7","2.7","8478396","8822539"
"16","Oklahoma","935697","82853","32.7","2.9","2858485","2916436"
"16","Oregon","889637","77825","27.6","2.4","3225405","3302727"
"16","Pennsylvania","2731932","273876","29","2.9","9427867","9776154"
"16","Rhode Island","269934","31832","33.8","3.9","798315","817559"
"16","South Carolina","1254789","131613","32.2","3.3","3895702","3969123"
"16","South Dakota","153506","15572","24.6","2.5","623868","642658"
"16","Tennessee","1602522","144502","31.8","2.9","5043828","5221475"
"16","Texas","7639204","460922","36.8","2.2","20735827","21356906"
"16","Utah","542971","50529","24.4","2.2","2225604","2281207"
"16","Vermont","129494","17013","27.4","3.5","472476","485485"
"16","Virginia","1795252","157608","28.8","2.5","6241078","6472737"
"16","Washington","1434228","94258","24.7","1.6","5796575","5890357"
"16","West Virginia","462649","52342","34.4","3.8","1344528","1379576"
"16","Wisconsin","1005430","94191","23.3","2.2","4322868","4438719"
"16","Wyoming","117196","13831","27.9","3.2","419944","433400"
"16","Atlanta-Sandy Springs-Alpharetta, GA Metro Area","1681532","190234","36.8","3.7","4574454","4725488"
"16","Boston-Cambridge-Newton, MA-NH Metro Area","976281","103368","27.4","2.3","3559210","3675801"
"16","Chicago-Naperville-Elgin, IL-IN-WI Metro Area","2316797","230009","32.8","3.1","7070228","7289444"
"16","Dallas-Fort Worth-Arlington, TX Metro Area","1643104","233524","30","3.4","5474265","5710355"
"16","Detroit-Warren-Dearborn, MI Metro Area","1063119","161581","31.6","4","3363927","3497768"
"16","Houston-The Woodlands-Sugar Land, TX Metro Area","1973601","246055","40.2","3.6","4904248","5145255"
"16","Los Angeles-Long Beach-Anaheim, CA Metro Area","3951576","425825","41.2","3.4","9589681","10169490"
"16","Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","1785259","279856","40.2","4","4446419","4715088"
"16","New York-Newark-Jersey City, NY-NJ-PA Metro Area","4735286","363545","35.4","2.7","13369388","13775028"
"16","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","1260960","156743","28.4","2.6","4436678","4615359"
"16","Phoenix-Mesa-Chandler, AZ Metro Area","1242165","154375","32.5","3.5","3816700","3878159"
"16","Riverside-San Bernardino-Ontario, CA Metro Area","1696281","285583","41.5","5.1","4090970","4213706"
"16","San Francisco-Oakland-Berkeley, CA Metro Area","970868","210806","28.7","5","3379729","3482785"
"16","Seattle-Tacoma-Bellevue, WA Metro Area","737980","67291","23.1","2.2","3190769","3256957"
"16","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","1115013","116527","24.9","2.2","4476684","4663752"
"17","United States","79672272","1397650","33.1","0.6","240351253","249170916"
"17","Alabama","1290701","134170","36.3","3.6","3553622","3717378"
"17","Alaska","165061","14292","32.1","2.8","514109","524925"
"17","Arizona","1941559","185548","36","3.3","5400331","5597268"
"17","Arkansas","748200","81283","34.6","3.7","2164525","2246527"
"17","California","10162660","691107","35.5","2.5","28640132","29939021"
"17","Colorado","1220344","106861","27.9","2.4","4377107","4454718"
"17","Connecticut","813672","73984","31","2.7","2620946","2732423"
"17","Delaware","211527","21951","29","3.1","729034","754637"
"17","District of Columbia","164071","20764","31","3.9","529834","542635"
"17","Florida","5503752","335705","33.8","2.1","16289517","17085385"
"17","Georgia","2671584","259003","35","3.3","7624306","7955983"
"17","Hawaii","381444","40532","36.5","3.8","1044067","1073229"
"17","Idaho","359311","31930","27.6","2.6","1301847","1343198"
"17","Illinois","2865548","199280","31.5","2.2","9109532","9546424"
"17","Indiana","1576785","116756","32","2.4","4926756","5015550"
"17","Iowa","543798","58925","24.1","2.6","2255481","2342905"
"17","Kansas","616694","58848","29.8","2.8","2067034","2140957"
"17","Kentucky","980861","98891","30.2","3","3249465","3344102"
"17","Louisiana","1199465","133639","36.1","4","3322680","3431432"
"17","Maine","274112","33736","26.6","3.1","1032142","1065620"
"17","Maryland","1381549","102689","30.9","2.3","4468988","4586920"
"17","Massachusetts","1506343","119706","29.3","2.2","5142680","5324065"
"17","Michigan","2390842","220890","32.3","2.9","7404058","7644458"
"17","Minnesota","1021846","105352","24.7","2.6","4134110","4241624"
"17","Mississippi","827939","87504","39.5","4","2097380","2189670"
"17","Missouri","1265918","123352","28.6","2.6","4429245","4617880"
"17","Montana","194538","26412","24.1","3.2","805790","822204"
"17","Nebraska","369167","32999","27.2","2.3","1358460","1418191"
"17","Nevada","979111","76544","41.8","3.4","2344633","2399457"
"17","New Hampshire","262147","31727","25.1","3","1046361","1073014"
"17","New Jersey","2212082","188252","33.8","2.8","6550817","6776822"
"17","New Mexico","605262","51598","39.2","3.2","1545166","1589574"
"17","New York","5607974","406482","39.3","2.8","14270842","14847080"
"17","North Carolina","2248611","323361","28.9","4.1","7769760","8017566"
"17","North Dakota","136235","17620","25.2","3.2","540353","561016"
"17","Ohio","2439614","293186","28.8","3.3","8462727","8822539"
"17","Oklahoma","964548","85424","33.9","3.1","2843858","2916436"
"17","Oregon","980057","71734","30.2","2.2","3242740","3302727"
"17","Pennsylvania","2534835","219593","26.9","2.3","9416868","9776154"
"17","Rhode Island","286209","18595","36","2.3","794330","817559"
"17","South Carolina","1381522","129778","36.2","3.3","3818658","3969123"
"17","South Dakota","143145","16859","23","2.7","621311","642658"
"17","Tennessee","1751473","136090","35","2.7","5006647","5221475"
"17","Texas","8562053","565852","41.3","2.6","20738432","21356906"
"17","Utah","575354","67921","25.7","3","2236392","2281207"
"17","Vermont","109828","14475","23.2","3.1","474068","485485"
"17","Virginia","1915204","209224","30.5","3.2","6281593","6472737"
"17","Washington","1589586","107244","27.9","1.8","5706168","5890357"
"17","West Virginia","445087","55811","33.5","4.2","1329040","1379576"
"17","Wisconsin","1167602","144997","27.2","3.3","4294485","4438719"
"17","Wyoming","125439","14768","29.7","3.5","422824","433400"
"17","Atlanta-Sandy Springs-Alpharetta, GA Metro Area","1534573","222766","34.6","4.3","4430032","4616968"
"17","Boston-Cambridge-Newton, MA-NH Metro Area","920450","91551","26","2.3","3536546","3659039"
"17","Chicago-Naperville-Elgin, IL-IN-WI Metro Area","2364089","179867","34.8","2.3","6801575","7128179"
"17","Dallas-Fort Worth-Arlington, TX Metro Area","2030973","272607","34.5","3.8","5887730","6098701"
"17","Detroit-Warren-Dearborn, MI Metro Area","1091736","153390","33.3","4.1","3274582","3433618"
"17","Houston-The Woodlands-Sugar Land, TX Metro Area","2303357","334398","45.2","4.5","5092606","5306207"
"17","Los Angeles-Long Beach-Anaheim, CA Metro Area","4000772","427311","40.1","3.5","9985197","10468259"
"17","Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","1983967","265137","42.8","3.9","4633619","4839099"
"17","New York-Newark-Jersey City, NY-NJ-PA Metro Area","5594406","470590","40.8","2.9","13708547","14323678"
"17","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","1359265","174908","29.6","3.4","4592431","4707033"
"17","Phoenix-Mesa-Chandler, AZ Metro Area","1343709","154396","36.4","3.9","3688242","3838985"
"17","Riverside-San Bernardino-Ontario, CA Metro Area","1773421","272723","44.4","4.9","3991596","4278369"
"17","San Francisco-Oakland-Berkeley, CA Metro Area","846363","166096","25","4.3","3382336","3512556"
"17","Seattle-Tacoma-Bellevue, WA Metro Area","851887","87383","28","2.6","3047869","3135725"
"17","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","1306760","109736","28.7","2","4560311","4672763"
"18","United States","80852514","1910733","33.7","0.8","239749004","249170916"
"18","Alabama","1405469","138909","39","3.8","3599825","3717378"
"18","Alaska","156077","18225","30.9","3.6","505576","524925"
"18","Arizona","1676808","193526","31.3","3.5","5362764","5597268"
"18","Arkansas","801305","95816","36.7","4.4","2184663","2246527"
"18","California","9790784","921108","34.4","3.1","28464877","29939021"
"18","Colorado","1295179","123174","30.1","2.7","4298247","4454718"
"18","Connecticut","809532","97010","31.2","3.7","2596614","2732423"
"18","Delaware","255917","32102","34.7","4.4","738158","754637"
"18","District of Columbia","136665","20328","26","3.8","525962","542635"
"18","Florida","5993508","574239","36.5","3.4","16415043","17085385"
"18","Georgia","2910185","288149","37.9","3.5","7683754","7955983"
"18","Hawaii","353922","46088","34.5","4.4","1025982","1073229"
"18","Idaho","382553","44471","29.5","3.4","1296839","1343198"
"18","Illinois","3086563","370465","33.4","4","9242284","9546424"
"18","Indiana","1480848","154246","30.7","3.2","4822433","5015550"
"18","Iowa","649384","84783","28.6","3.7","2267765","2342905"
"18","Kansas","647491","62968","31.8","3.1","2035683","2140957"
"18","Kentucky","1118010","127120","34.7","3.8","3224475","3344102"
"18","Louisiana","1449880","128779","43.7","3.7","3316091","3431432"
"18","Maine","327122","46130","31.4","4.4","1041182","1065620"
"18","Maryland","1347071","146793","30.3","3.4","4451650","4586920"
"18","Massachusetts","1425335","160217","27.8","3.1","5126138","5324065"
"18","Michigan","2268562","276441","30.8","3.7","7366625","7644458"
"18","Minnesota","1105434","138562","26.9","3.4","4103420","4241624"
"18","Mississippi","878951","102047","41.9","4.7","2099627","2189670"
"18","Missouri","1359809","191525","30.5","4.4","4456285","4617880"
"18","Montana","232581","34562","29.7","4.4","783261","822204"
"18","Nebraska","362345","47385","26.9","3.4","1348071","1418191"
"18","Nevada","867683","100400","37.9","4.3","2290544","2399457"
"18","New Hampshire","276189","50570","26.6","4.8","1039657","1073014"
"18","New Jersey","2242663","253405","34.4","3.8","6518566","6776822"
"18","New Mexico","652070","52976","41.7","3.3","1565203","1589574"
"18","New York","5166055","635772","37.1","4.5","13920238","14847080"
"18","North Carolina","2976342","241344","38.1","3.2","7805055","8017566"
"18","North Dakota","115268","19651","21.1","3.6","547002","561016"
"18","Ohio","2825226","337764","32.8","3.9","8619953","8822539"
"18","Oklahoma","1132915","106571","40.5","3.7","2796835","2916436"
"18","Oregon","950392","78347","29.4","2.4","3227956","3302727"
"18","Pennsylvania","2942649","247045","30.7","2.5","9580820","9776154"
"18","Rhode Island","226517","33912","29.6","4.3","764206","817559"
"18","South Carolina","1347079","168716","35.1","4.4","3840984","3969123"
