state,overall_score,gdp_score,unemp_score,jobs_score,changes_mean_!!gdp,2020:Q2_over19_!!gdp,2020:Q3_over19_!!gdp,2020:Q4_over19_!!gdp,2021:Q1_over19_!!gdp,2021:Q2_over19_!!gdp,state_!!gdp,std_dev_!!gdp,zscore_!!gdp,percentile_!!gdp,score_!!gdp,state_!!unemp,Jan_change_2021_19_!!unemp,Feb_change_2021_19_!!unemp,Mar_change_2021_19_!!unemp,Mar_change_2020_19_!!unemp,Apr_change_2021_19_!!unemp,Apr_change_2020_19_!!unemp,May_change_2021_19_!!unemp,May_change_2020_19_!!unemp,Jun_change_2021_19_!!unemp,Jun_change_2020_19_!!unemp,Jul_change_2021_19_!!unemp,Jul_change_2020_19_!!unemp,Aug_change_2021_19_!!unemp,Aug_change_2020_19_!!unemp,Sep_change_2021_19_!!unemp,Sep_change_2020_19_!!unemp,Oct_change_2021_19_!!unemp,Oct_change_2020_19_!!unemp,Nov_change_2020_19_!!unemp,Dec_change_2020_19_!!unemp,mean_unemp_changes_!!unemp,std_dev_!!unemp,zscore_!!unemp,percentile_!!unemp,score_!!unemp,state_!!jobs,Jan_change_2021_19_!!jobs,Feb_change_2021_19_!!jobs,Mar_change_2021_19_!!jobs,Mar_change_2020_19_!!jobs,Apr_change_2021_19_!!jobs,Apr_change_2020_19_!!jobs,May_change_2021_19_!!jobs,May_change_2020_19_!!jobs,Jun_change_2021_19_!!jobs,Jun_change_2020_19_!!jobs,Jul_change_2021_19_!!jobs,Jul_change_2020_19_!!jobs,Aug_change_2021_19_!!jobs,Aug_change_2020_19_!!jobs,Sep_change_2021_19_!!jobs,Sep_change_2020_19_!!jobs,Oct_change_2021_19_!!jobs,Oct_change_2020_19_!!jobs,Nov_change_2020_19_!!jobs,Dec_change_2020_19_!!jobs,mean_jobs_changes_!!jobs,std_dev_!!jobs,zscore_!!jobs,percentile_!!jobs,score_!!jobs
KS,70.77774198960634,24.349162081021188,23.746272406975088,22.68230750161007,0.9904921818881934,0.9136792919149107,0.9850402311591678,0.9954011974567182,1.0270473679949808,1.0312928209151897,KS,0.022632195985184882,0.6142497938251379,0.7304748631611105,24.349162081021188,KS,1.0303030303030303,1.1515151515151516,1.15625,1.0,1.129032258064516,4.064516129032258,1.129032258064516,2.903225806451613,1.1935483870967742,2.258064516129032,1.225806451612903,2.129032258064516,1.225806451612903,2.0,1.2580645161290323,1.9677419354838708,1.2580645161290323,1.5161290322580645,1.5161290322580645,1.5161290322580645,1.6314195381231673,0.5396011334179114,-0.560375038215995,0.7123881729216408,23.746272406975088,KS,0.9608202381791277,0.959035464993302,0.9682830561037497,1.002184945023964,0.961241940005607,0.8906644238856182,0.9624894633323968,0.9143720146108458,0.9660933660933662,0.9314847314847315,0.9718101933216169,0.9461511423550089,0.9708418027616176,0.9522674703862058,0.9736860571187986,0.9506701284120412,0.9741844966678359,0.9525078919677306,0.9507817429713243,0.9493342676944639,0.9554452418684674,0.02890450787789555,0.4690113145694009,0.6804692257287713,22.68230750161007
NC,69.3212542946296,21.78237322500421,21.863224234396817,25.67565683522856,0.9855234932944864,0.910113105267327,0.976587151453881,0.9870396094506964,1.0216110788018067,1.0322665214987201,NC,0.022632195985184882,0.39470907418133716,0.6534711974035975,21.78237322500421,NC,1.475,1.425,1.3,0.975,1.2820512820512822,3.4615384615384617,1.2307692307692308,3.4615384615384617,1.2105263157894737,2.3157894736842106,1.1578947368421053,2.3157894736842106,1.162162162162162,1.8378378378378377,1.162162162162162,1.9729729729729728,1.1388888888888888,1.8888888888888888,1.8285714285714287,1.7428571428571427,1.7172619460119456,0.5396011334179114,-0.401290109418607,0.6558967276878013,21.863224234396817,NC,0.9744878916284279,0.9775391911474114,0.9789762139647047,1.008440206072564,0.9776214273189551,0.8879975451516746,0.9763812275632607,0.9028106120304702,0.9844204086091991,0.9302523762700754,0.9879420871309581,0.9399066765513934,0.9842728936133136,0.9489195782870088,0.984716870224022,0.9541723815122025,0.989720966620306,0.9568193671766341,0.9580267812574604,0.9619830409229901,0.9632703871526518,0.02890450787789555,0.7397353593184428,0.7702697058271265,25.67565683522856
MO,66.61546610357804,20.71274960670669,23.167787516512842,22.734928980358507,0.9835862824791463,0.9133872187770843,0.9786608617026271,0.9869422747736065,1.0143648837900352,1.0245761733523786,MO,0.022632195985184882,0.3091137207031216,0.6213824888225832,20.71274960670669,MO,1.3437499999999998,1.3437499999999998,1.3125,1.15625,1.3225806451612903,4.032258064516129,1.3548387096774195,3.096774193548387,1.3437499999999998,2.5312499999999996,1.3125,2.125,1.2121212121212122,1.8181818181818183,1.1176470588235294,1.5882352941176472,1.0882352941176472,1.4705882352941178,1.342857142857143,1.2571428571428573,1.65851052627796,0.5396011334179114,-0.510169457691739,0.6950336261904189,23.167787516512842,MO,0.9657414095552573,0.9631810980230074,0.9681458548331614,1.001857585139319,0.9658915261223507,0.8825610551987084,0.9684977154831838,0.901130234635336,0.9690796028446765,0.9240388909884221,0.9709613274821721,0.943431157432803,0.9734558798312699,0.9485922013786481,0.97607786688601,0.9511275618616765,0.9765410958904109,0.9517808219178081,0.9533898305084746,0.9559782794303473,0.9555730497721522,0.02890450787789555,0.4734330436721672,0.6820478700928031,22.734928980358507
KY,66.58674311376664,20.707302238644033,27.532650551147494,18.346790323975117,0.9835765584897243,0.9057821772421027,0.9793084035904491,0.9866952171394042,1.01846696533697,1.027630029139695,KY,0.022632195985184882,0.3086840677684982,0.62121906778054,20.707302238644033,KY,1.2619047619047619,1.2380952380952381,1.2195121951219514,1.024390243902439,1.1463414634146343,4.121951219512195,1.0975609756097562,2.658536585365854,1.0731707317073174,1.3902439024390245,1.0731707317073174,1.3658536585365855,1.048780487804878,1.3414634146341464,1.048780487804878,1.3414634146341464,1.024390243902439,1.3414634146341464,1.3658536585365855,1.3658536585365855,1.4274390243902437,0.5396011334179114,-0.938395952369532,0.8259795173604043,27.532650551147494,KY,0.9551384520187697,0.9585160724420825,0.9582432293275666,1.0015961281021522,0.9586210450376172,0.8564876842213748,0.9589894000205824,0.8707419985592261,0.9586891655520116,0.9169667661282026,0.9556685673190528,0.9299327066317357,0.9629344816979392,0.9403260535219933,0.9652254192952762,0.9450684720726265,0.9684048291805806,0.9538659131774981,0.951417004048583,0.9441738862972265,0.9455503637326048,0.02890450787789555,0.12668138535342713,0.5504037102696573,18.346790323975117
IN,64.31155887154515,25.272857374304728,18.893437534282466,20.14526396295795,0.9924437258311976,0.9073456289305938,0.9860640410067971,0.992027991479581,1.0337526045978143,1.0430283631412012,IN,0.022632195985184882,0.7004784542821968,0.7581857219873276,25.272857374304728,IN,1.2,1.1764705882352942,1.1818181818181819,1.0,1.1818181818181819,5.121212121212121,1.25,3.75,1.2812499999999998,3.1562499999999996,1.2812499999999998,2.6874999999999996,1.2812499999999998,2.28125,1.09375,1.9687499999999998,1.064516129032258,1.8064516129032255,1.6129032258064515,1.4838709677419353,1.843015550428382,0.5396011334179114,-0.16824092432906687,0.5668031265952771,18.893437534282466,IN,0.957333249115715,0.9575577536895995,0.9576169405815423,0.9919089759797725,0.9598972863302054,0.8446931270606137,0.9645024946769633,0.8852766390186545,0.9667300983190612,0.9205835712020298,0.9721755131825247,0.9423205050921666,0.9689863603278585,0.9469603468464192,0.9706991035509519,0.9502359910038329,0.9732292423907202,0.9525269445936976,0.952820059369671,0.9547075718839756,0.9495380887107986,0.02890450787789555,0.2646434290263225,0.6043579194930965,20.14526396295795
GA,63.321063281580564,14.122760300530462,24.538123952903447,24.66017902814666,0.9722340973508878,0.9081188604077127,0.9642468386451322,0.9716211003599292,1.005722786174154,1.0114609011675104,GA,0.022632195985184882,-0.19248078367858312,0.4236828094395967,14.122760300530462,GA,1.3076923076923077,1.263157894736842,1.2162162162162162,0.9729729729729729,1.1944444444444444,3.4722222222222223,1.1388888888888888,2.611111111111111,1.1428571428571428,2.4,1.0571428571428572,2.1714285714285713,1.0,2.0,0.9705882352941176,1.911764705882353,0.9393939393939394,1.787878787878788,1.696969696969697,1.6060606060606062,1.5930395300596536,0.5396011334179114,-0.6315016643229663,0.7361437193232472,24.538123952903447,GA,0.9693168702772151,0.9707948243992606,0.9744163804721122,1.007912011476764,0.9725670064995762,0.881899006586527,0.9743188972104634,0.9085639856724195,0.9814056303231259,0.9310621329345729,0.9878589824052634,0.9354859653299284,0.9859364873622812,0.9419096997191618,0.9894248408330636,0.9461098521635912,0.9924792587005712,0.9500484861545092,0.9521975776090184,0.9556309595395586,0.9604669427834489,0.02890450787789555,0.6427454925113076,0.7398053715842052,24.66017902814666
AL,62.5695773833058,15.055364818192869,22.219264501599607,25.29494806351332,0.9738413163287,0.9076952096522066,0.9759095342402074,0.9796702696054987,1.0014202706944697,1.004511297451117,AL,0.022632195985184882,-0.12146606734861577,0.451660944997447,15.055364818192869,AL,1.1944444444444444,1.1428571428571428,1.1515151515151516,0.787878787878788,1.125,4.124999999999999,1.096774193548387,2.5483870967741935,1.1379310344827587,2.6551724137931036,1.103448275862069,2.5517241379310347,1.1071428571428572,2.5357142857142856,1.1071428571428572,2.3928571428571432,1.1071428571428572,1.6785714285714288,1.7407407407407407,1.7407407407407407,1.701509279456999,0.5396011334179114,-0.43048327744471343,0.6665779357145661,22.219264501599607,AL,0.9754951813647149,0.9778390671118209,0.9783396992699317,1.0045447952424695,0.9695301559708339,0.8883577188661934,0.9687816646562123,0.9100120627261761,0.9759849544292811,0.9309446882384145,0.9762764063327077,0.9415331312256388,0.9779188916149517,0.9476595949391448,0.9841598459316321,0.9533461723639864,0.9910052910052911,0.962000962000962,0.964428015937785,0.9657836644591611,0.9621970981843653,0.02890450787789555,0.702603124691909,0.7588484426642481,25.29494806351332
TN,61.86166661694273,18.732413552364754,16.265770384175525,26.863482680402445,0.9801203463468149,0.8810866339877366,0.9677768189646513,0.9788948117852048,1.0319166048121866,1.0409268621842953,TN,0.022632195985184882,0.15597188088341585,0.5619724071329151,18.732413552364754,TN,1.5,1.4411764705882355,1.5454545454545454,1.2121212121212122,1.5151515151515151,4.787878787878788,1.5151515151515151,2.909090909090909,1.484848484848485,2.8181818181818183,1.4242424242424243,2.6969696969696972,1.3939393939393938,2.4545454545454546,1.2941176470588236,2.323529411764706,1.2352941176470589,2.2941176470588234,1.5999999999999999,1.5555555555555554,1.950068330362448,0.5396011334179114,0.030151505382817127,0.4879731120132389,16.265770384175525,TN,0.9753961097513849,0.9777713440133823,0.9806221479529532,1.0088051931358055,0.9825682182985553,0.8904975922953451,0.983232880225699,0.9086304180559117,0.9910022414345181,0.9399935959013769,0.989371238314765,0.9432065565373287,0.9898109109492781,0.9496614283889101,0.9859397417503587,0.955714968914395,0.9912681912681912,0.9654565808411962,0.9623482942057145,0.9653118430273301,0.9668304747631199,0.02890450787789555,0.8629025699662551,0.8059044812179779,26.863482680402445
SC,60.66519264163122,25.900767790400987,12.413215837872672,22.351209013357565,0.9938401161098656,0.9189977598452017,0.991835602238766,0.9959988041652733,1.0256160813172792,1.0367523329828072,SC,0.022632195985184882,0.7621777378860541,0.7770230344890526,25.900767790400987,SC,1.6562499999999998,1.625,1.5937499999999998,0.9375,1.6129032258064515,3.7096774193548385,1.586206896551724,3.9655172413793105,1.6666666666666665,2.8518518518518516,1.6538461538461537,2.923076923076923,1.7500000000000002,2.2500000000000004,1.7083333333333333,2.2500000000000004,1.625,2.2500000000000004,2.3333333333333335,2.2399999999999998,2.1094456522600296,0.5396011334179114,0.32551286033042937,0.37239647550857663,12.413215837872672,SC,0.9683058098348589,0.9715835938936913,0.9722222222222222,1.0028925619834712,0.9664515538468579,0.8643873861503958,0.9654494767149582,0.8944289566290389,0.9682032070903194,0.9241628215085202,0.9725284738041001,0.9300227790432802,0.974575885750671,0.9411470414335745,0.978303388674096,0.9464180122811007,0.9809939526212885,0.951211749192925,0.95719808960655,0.9624528387653984,0.954646990052366,0.02890450787789555,0.44139445219369383,0.6705362710712632,22.351209013357565
TX,58.92377503463698,20.375678837914325,11.946686794616564,26.601409402106093,0.9829869335123831,0.9143425376944544,0.9762025730957391,0.9824342712506304,1.0162803814048607,1.0256749041162312,TX,0.022632195985184882,0.28263158140229966,0.6112703657487001,20.375678837914325,TX,1.8378378378378377,1.9166666666666667,1.9714285714285715,1.4000000000000001,1.9142857142857144,3.685714285714286,1.9411764705882353,3.411764705882353,1.911764705882353,3.0,1.7714285714285716,2.6571428571428575,1.6857142857142857,1.9714285714285715,1.5999999999999999,2.257142857142857,1.542857142857143,2.085714285714286,2.0571428571428574,1.9714285714285715,2.129531947914301,0.5396011334179114,0.3627371995882842,0.3584006041968975,11.946686794616564,TX,0.978064088815997,0.9754750818021646,0.9829361992976501,1.0139291522307854,0.9821932630786601,0.9030705055827374,0.9836739166164465,0.920138372557153,0.9869397006526242,0.9355660635429286,0.9910871496018824,0.9344079654704956,0.9922325718817547,0.9391901348220255,0.9983998632892908,0.9434437116957565,1.0013185551737778,0.9500267589138208,0.9515538810277199,0.9566293769051046,0.966013815647939,0.02890450787789555,0.8346488761607483,0.798042282861225,26.601409402106093
ME,57.97763791650098,26.959014487957788,14.742144279035559,16.27647914950764,0.9963567370538697,0.9284251092208211,0.9980792876757368,1.0002831459850732,1.0236053944509655,1.0313907479367523,ME,0.022632195985184882,0.8733742362572934,0.808770435447504,26.959014487957788,ME,1.7333333333333334,1.7142857142857144,1.7777777777777777,1.1481481481481481,1.846153846153846,3.4999999999999996,1.846153846153846,3.1923076923076925,1.846153846153846,2.0384615384615383,1.8148148148148149,3.2592592592592595,1.8148148148148149,1.9259259259259258,1.7777777777777777,1.8148148148148149,1.8148148148148149,1.7777777777777777,1.8148148148148149,1.7857142857142858,2.012165242165243,0.5396011334179114,0.14523078887035204,0.4422643288133311,14.742144279035559,ME,0.9488591660110149,0.9524933144565045,0.9628930817610063,1.0009433962264151,0.960100534087339,0.8567389255419415,0.9610491597298569,0.8760797863986177,0.966138893243455,0.8901081674243612,0.9715632364493323,0.9060487038491752,0.962887566551832,0.9171625430629502,0.9594425305355465,0.9392420920764171,0.9614540896270761,0.9415543716703226,0.9434346599811971,0.942615239887112,0.9410404729285737,0.02890450787789555,-0.02934586212930814,0.4882943749735236,16.27647914950764
