state,overall_score,hospitalizations_score,deaths_score,vax_score,covid_testing_score,state_!!hospitalizations,per_100k_!!hospitalizations,std_dev_!!hospitalizations,zscore_!!hospitalizations,percentile_!!hospitalizations,score_!!hospitalizations,state_!!deaths,tot_death_!!deaths,state_y_!!deaths,population_!!deaths,pop_over_85_pct_!!deaths,pop_75_84_pct_!!deaths,pop_65_74_pct_!!deaths,pop_50_64_pct_!!deaths,pop_40_49_pct_!!deaths,pop_30_39pct_!!deaths,pop_under_30_pct_!!deaths,Estimate!!Percent!!Total population!!AGE!!Under 5 years_!!deaths,Estimate!!Percent!!Total population!!AGE!!5 to 9 years_!!deaths,Estimate!!Percent!!Total population!!AGE!!10 to 14 years_!!deaths,Estimate!!Percent!!Total population!!AGE!!15 to 19 years_!!deaths,Estimate!!Percent!!Total population!!AGE!!20 to 24 years_!!deaths,Estimate!!Percent!!Total population!!AGE!!25 to 29 years_!!deaths,Estimate!!Percent!!Total population!!AGE!!30 to 34 years_!!deaths,Estimate!!Percent!!Total population!!AGE!!35 to 39 years_!!deaths,Estimate!!Percent!!Total population!!AGE!!40 to 44 years_!!deaths,Estimate!!Percent!!Total population!!AGE!!45 to 49 years_!!deaths,Estimate!!Percent!!Total population!!AGE!!50 to 54 years_!!deaths,Estimate!!Percent!!Total population!!AGE!!55 to 59 years_!!deaths,Estimate!!Percent!!Total population!!AGE!!60 to 64 years_!!deaths,Estimate!!Percent!!Total population!!AGE!!65 to 69 years_!!deaths,Estimate!!Percent!!Total population!!AGE!!70 to 74 years_!!deaths,Estimate!!Percent!!Total population!!AGE!!75 to 79 years_!!deaths,Estimate!!Percent!!Total population!!AGE!!80 to 84 years_!!deaths,Estimate!!Percent!!Total population!!AGE!!85 years and over_!!deaths,state_abbrv_!!deaths,deaths_per_capita_!!deaths,per_100k_!!deaths,std_dev_!!deaths,zscore_!!deaths,percentile_!!deaths,score_!!deaths,Date_!!vax,Administered_!!vax,population_!!vax,Admin_per_100k_!!vax,state_!!vax,std_dev_!!vax,zscore_!!vax,percentile_!!vax,score_!!vax,testing_per_100k_!!covid_testing,test_per_hosp_!!covid_testing,state_!!covid_testing,zscore_!!covid_testing,percentile_!!covid_testing,score_!!covid_testing
VA,70.20048429009184,19.961794998320983,19.412086092903852,20.95577112557233,9.870832073294684,VA,698.89066573611,419.9936053556361,-0.8361751072709754,0.7984717999328392,19.961794998320983,VA,14656,Virginia,8631393,1.8,4.7,9.5,19.6,12.6,13.8,38.3,5.9,5.9,6.4,6.5,6.6,7.0,6.8,7.0,6.3,6.3,6.5,6.7,6.4,5.1,4.4,2.8,1.9,1.8,VA,0.0016979877987249566,169.79877987249566,68.70787109200695,-0.7603705653254418,0.7764834437161541,19.412086092903852,2021-11-24,12883121,8631393,149258.8855587968,VA,17720.328916701328,0.9872128370495069,0.8382308450228932,20.95577112557233,133225.45966798175,190.6241794310722,VA,-0.26674362071143165,0.3948332829317874,9.870832073294684
CO,66.9199994505058,15.1125820752474,20.645391240958087,20.131346733009813,11.030679401290506,CO,938.771820010482,419.9936053556361,-0.2650208058352455,0.604503283009896,15.1125820752474,CO,9100,Colorado,5773714,1.5,4.0,9.1,18.2,12.8,15.3,39.0,5.7,6.0,6.4,6.3,6.6,8.0,7.8,7.5,6.5,6.3,5.9,6.2,6.1,5.1,4.0,2.5,1.5,1.5,CO,0.0015761085498866068,157.61085498866066,68.70787109200695,-0.9377581730351044,0.8258156496383235,20.645391240958087,2021-11-24,8488178,5773714,147014.17493142196,CO,17720.328916701328,0.860538516390638,0.8052538693203926,20.131346733009813,204450.32434928368,217.78489723626436,CO,-0.1478586117972712,0.44122717605162026,11.030679401290506
UT,61.20526070419358,18.556886304497507,23.839080432482127,7.4159643477137385,11.393329619500205,UT,776.9249202840431,419.9936053556361,-0.65037643426057,0.7422754521799002,18.556886304497507,UT,3487,Utah,3271616,1.1,3.4,6.8,14.2,12.1,14.1,48.1,7.7,8.0,8.3,8.0,8.3,7.8,6.9,7.2,6.6,5.5,4.8,4.6,4.8,3.8,3.0,2.0,1.4,1.1,UT,0.0010658341321230854,106.58341321230853,68.70787109200695,-1.6804306058342682,0.9535632172992852,23.839080432482127,2021-11-24,4001214,3271616,122300.84459789902,UT,17720.328916701328,-0.5340930646423044,0.29663857390854953,7.4159643477137385,175711.26929321777,226.16248327956566,UT,-0.1111891320515397,0.45573318478000824,11.393329619500205
DE,59.332127351662436,14.680208492342448,12.868002125956718,17.038737366472496,14.74517936689077,DE,957.525041719363,419.9936053556361,-0.2203695981269723,0.5872083396936979,14.680208492342448,DE,2173,Delaware,989948,1.9,5.9,11.5,20.3,11.9,12.3,36.2,5.6,5.6,6.2,6.2,5.9,6.7,6.5,5.8,5.9,6.0,6.2,6.8,7.3,6.1,5.4,3.6,2.3,1.9,DE,0.002195064791281966,219.50647912819662,68.70787109200695,-0.03690615774487217,0.5147200850382687,12.868002125956718,2021-11-24,1387212,989948,140129.7845947464,DE,17720.328916701328,0.4720361150504991,0.6815494946588999,17.038737366472496,290548.59447162884,303.437071421036,DE,0.2270489869086521,0.5898071746756308,14.74517936689077
NY,58.82408661470839,16.71283928558262,4.838168202429122,19.69491715794723,17.578161968749416,NY,867.040448835614,419.9936053556361,-0.435812385183527,0.6685135714233048,16.71283928558262,NY,56861,New York,20201249,2.3,5.1,9.5,20.0,12.2,13.7,37.3,5.8,5.4,6.0,6.1,6.5,7.5,7.2,6.5,6.0,6.2,6.6,6.8,6.6,5.2,4.3,3.0,2.1,2.3,NY,0.002814726950793983,281.4726950793983,68.70787109200695,0.8649732771196211,0.19352672809716487,4.838168202429122,2021-11-24,29477691,20201249,145920.14087841797,NY,17720.328916701328,0.7987995916705175,0.7877966863178892,19.69491715794723,323778.79209349875,373.42985846659775,NY,0.5334139795984936,0.7031264787499767,17.578161968749416
IL,57.55840732473838,16.58581301885698,11.584934978864101,15.61957137030079,13.76808795671651,IL,872.9048208204046,419.9936053556361,-0.421849382152029,0.6634325207542793,16.58581301885698,IL,29258,Illinois,12812508,2.0,4.8,9.4,19.3,12.6,13.5,38.3,5.9,5.9,6.5,6.5,6.5,7.0,6.8,6.7,6.3,6.3,6.3,6.6,6.4,5.3,4.1,2.9,1.9,2.0,IL,0.0022835497936859826,228.35497936859824,68.70787109200695,0.0918782173167938,0.46339739915456407,11.584934978864101,2021-11-24,17604565,12812508,137401.3971347374,IL,17720.328916701328,0.318066768723214,0.6247828548120316,15.61957137030079,245016.9709162328,280.6915084807897,IL,0.1274895248832467,0.5507235182686604,13.76808795671651
NE,56.36151061881651,16.36436970097398,20.38085575838465,11.723049516828182,7.893235642629694,NE,883.0468864707897,419.9936053556361,-0.3977012391301914,0.6545747880389593,16.36436970097398,NE,3146,Nebraska,1961504,2.1,4.7,9.2,18.1,11.3,13.4,41.1,6.7,6.8,7.1,6.8,6.9,6.8,6.6,6.8,5.8,5.5,5.6,6.2,6.3,5.1,4.1,2.7,2.0,2.1,NE,0.0016038713150725158,160.38713150725158,68.70787109200695,-0.8973512083822017,0.8152342303353861,20.38085575838465,2021-11-24,2557474,1961504,130383.31810692203,NE,17720.328916701328,-0.0779800011085167,0.46892198067312724,11.723049516828182,125372.82615788702,141.97754171237227,NE,-0.47967451599601824,0.31572942570518775,7.893235642629694
NC,55.09197706134703,16.420773425293355,18.374271824446158,10.479583282092664,9.817348529514854,NC,880.4730698772763,419.9936053556361,-0.40382946718103024,0.6568309370117342,16.420773425293355,NC,18676,North Carolina,10439388,1.8,4.9,10.0,19.4,12.8,12.8,38.3,5.7,5.9,6.5,6.8,6.6,6.8,6.5,6.3,6.2,6.6,6.4,6.7,6.3,5.4,4.6,3.0,1.9,1.8,NC,0.0017889937609369439,178.89937609369437,68.70787109200695,-0.6279170912684147,0.7349708729778464,18.374271824446158,2021-11-24,13378128,10439388,128150.5007764823,NC,17720.328916701328,-0.2039831549402334,0.41918333128370655,10.479583282092664,166720.85566701804,189.35372514034555,NC,-0.27230451828274693,0.3926939411805942,9.817348529514854
WI,50.99638045594952,7.008468630563952,19.52844873169635,15.455880621376872,9.003582472312349,WI,1294.4460525596915,419.9936053556361,0.5818354986745263,0.2803387452225581,7.008468630563952,WI,9944,Wisconsin,5893718,2.2,5.1,10.3,20.5,11.7,12.7,37.3,5.6,5.9,6.3,6.5,6.6,6.4,6.2,6.5,5.8,5.9,6.4,7.1,7.0,5.8,4.5,3.0,2.1,2.2,WI,0.0016872201893609433,168.72201893609434,68.70787109200695,-0.7760421458778275,0.7811379492678541,19.52844873169635,2021-11-24,8080069,5893718,137096.29473279856,WI,17720.328916701328,0.3008491198086228,0.6182352248550749,15.455880621376872,219742.88556052392,169.7582414701603,WI,-0.3580757879346087,0.36014329889249397,9.003582472312349
NJ,50.43962614876058,16.73963572997455,2.8450812095932103,18.512254595772763,12.342654613420056,NJ,865.7988152430715,419.9936053556361,-0.43876870065288065,0.669585429198982,16.73963572997455,NJ,28326,New Jersey,9288994,2.2,5.0,9.4,20.7,13.0,12.9,36.8,5.8,5.9,6.3,6.3,6.0,6.5,6.4,6.5,6.4,6.6,6.9,7.0,6.8,5.2,4.2,3.0,2.0,2.2,NJ,0.0030494152542245158,304.94152542245155,68.70787109200695,1.2065473933024098,0.1138032483837284,2.8450812095932103,2021-11-24,13301118,9288994,143192.23373381444,NJ,17720.328916701328,0.6448573506756293,0.7404901838309106,18.512254595772763,214683.95824133378,247.96055903710334,NJ,-0.015776910278409054,0.4937061845368022,12.342654613420056
