state,overall_score,food_score,expenses_score,violent_crime_score,Number_!!food,Margin of Error +/-_!!food,Percent_avg_!!food,MOE +/-_!!food,Measure Universe_!!food,Total Population age 18+_!!food,Percent_wk1_!!food,percent_over_wk1_!!food,state_!!food,std_dev_!!food,zscore_!!food,percentile_!!food,score_!!food,Number_!!expenses,Margin of Error +/-_!!expenses,Percent_avg_!!expenses,MOE +/-_!!expenses,Measure Universe_!!expenses,Total Population age 18+_!!expenses,Percent_wk1_!!expenses,percent_over_wk1_!!expenses,state_!!expenses,std_dev_!!expenses,zscore_!!expenses,percentile_!!expenses,score_!!expenses,population_19_!!violent_crime,year_19_!!violent_crime,violent_crime_19_!!violent_crime,violent_crime_20_!!violent_crime,crimes_per_100k_19_!!violent_crime,crimes_per_100k_20_!!violent_crime,change_19_20_raw_!!violent_crime,state_!!violent_crime,std_dev_!!violent_crime,zscore_!!violent_crime,percentile_!!violent_crime,score_!!violent_crime
NV,64.71298562270678,16.571337507517352,19.068545527799625,29.073102587389805,252552.47368421053,57462.31578947369,11.647368421052633,2.626315789473684,2163314.8421052634,2415729.3157894737,10.3,1.1308124680633624,NV,0.2813963782595026,0.007168703125301342,0.4971401257226607,16.571337507517352,807855.1153846154,82411.5,35.7,3.588461538461538,2257935.9615384615,2423239.6153846155,36.8,0.9701086956521741,NV,0.06565716671184925,-0.1816119536727333,0.5720563664060451,19.068545527799625,3090771.0,2019.0,15334.0,14445.0,496.1221649873122,460.2870572505329,0.9420242598147907,NV,0.09538948315591335,-1.1368192770711036,0.8721930784938873,29.073102587389805
VT,62.03601536828134,19.210140513916404,9.902266303616699,32.923608550748234,26569.552631578947,10820.526315789473,5.910526315789474,2.3947368421052633,449527.7105263158,485546.5789473684,5.5,1.0746411483253588,VT,0.2813963782595026,-0.19244765329490332,0.5763042159937963,19.210140513916404,106892.69230769231,19897.53846153846,22.984615384615385,4.25,463775.6923076923,485575.0,22.6,1.0170183798502381,VT,0.06565716671184925,0.5328520804507223,0.29706798940556894,9.902266303616699,624046.0,2019.0,1293.0,1081.0,207.1962643779465,173.41865766579448,0.8360402165506574,VT,0.09538948315591335,-2.2478856101479185,0.9877082575101553,32.923608550748234
CA,61.91627669188816,17.4961359043793,20.81521818092482,23.604922606584044,2857828.1315789474,452435.7368421053,10.778947368421052,1.6868421052631577,26442890.52631579,29897537.315789472,9.7,1.111231687466088,CA,0.2813963782595026,-0.06241563452106741,0.5248840776562631,17.4961359043793,9244869.923076924,639190.3461538461,33.353846153846156,2.2384615384615385,27646861.384615384,29878391.0,34.7,0.9612059410330304,CA,0.06565716671184925,-0.3172065134900243,0.6244565460522011,20.81521818092482,39437610.0,2019.0,174341.0,174026.0,442.0678636458954,442.0485043745341,0.9981931960927148,CA,0.09538948315591335,-0.547981446949763,0.708147678905669,23.604922606584044
AL,57.58526896480777,12.277305821021907,13.93544450114519,31.37251864264067,418831.4736842105,105977.02631578948,12.723684210526315,3.1631578947368424,3294652.6315789474,3723775.5789473685,10.4,1.2234311740890687,AL,0.2813963782595026,0.336308355165505,0.3683191749989764,12.277305821021907,1169178.3846153845,144026.23076923078,34.05,4.0,3426403.0,3726728.3076923075,34.2,0.9956140350877192,AL,0.06565716671184925,0.20685042923027624,0.418063335452419,13.93544450114519,4907965.0,2019.0,24769.0,22322.0,504.66945057676656,453.5579571564302,0.9012071541039203,AL,0.09538948315591335,-1.5647187095919315,0.9411755602203957,31.37251864264067
LA,57.06789711344114,26.37716950508306,24.82957973081608,5.8611478775420025,438574.84210526315,98276.1052631579,14.589473684210526,3.2263157894736842,2996793.4736842103,3431687.4736842103,16.2,0.9005847953216375,LA,0.2813963782595026,-0.8109927606637242,0.791315085943807,26.37716950508306,1213082.1923076923,140418.1923076923,38.58461538461539,4.3,3137611.769230769,3431805.3846153845,41.1,0.9387984278495228,LA,0.06565716671184925,-0.6584870515590485,0.7448873926693698,24.82957973081608,4658285.0,2019.0,26072.0,29704.0,559.6909592264105,639.4395389077777,1.1393065357471617,LA,0.09538948315591335,0.9313571026028978,0.17583443650209452,5.8611478775420025
ME,56.89495159056109,9.56289692062132,18.009696436998194,29.32235823294158,68920.15789473684,24703.21052631579,7.078947368421052,2.539473684210526,973661.552631579,1067955.5789473683,5.5,1.2870813397129186,ME,0.2813963782595026,0.5625023311418128,0.2868869079055265,9.56289692062132,258090.92307692306,44002.11538461538,25.457692307692305,4.280769230769231,1012021.6153846154,1069033.5384615385,26.1,0.9753905098732684,ME,0.06565716671184925,-0.10116659659123303,0.5402908936502367,18.009696436998194,1345770.0,2019.0,1562.0,1466.0,116.06738149906745,108.58125188406248,0.93854033290653,ME,0.09538948315591335,-1.173342453347949,0.8796707478679181,29.32235823294158
CO,55.96905189568209,21.295833781926813,25.717575686908816,8.95564242684646,316134.15789473685,85797.8947368421,7.71578947368421,2.0631578947368423,4099431.8947368423,4470382.736842105,7.5,1.0287719298245614,CO,0.2813963782595026,-0.35545337065526317,0.6388750140966795,21.295833781926813,1146510.3846153845,118993.19230769231,26.96923076923077,2.75,4240206.423076923,4477612.615384615,28.9,0.9331913760979506,CO,0.06565716671184925,-0.7438859810647953,0.7715272713787917,25.717575686908816,5758486.0,2019.0,22149.0,24570.0,384.63234954465463,423.0576582648024,1.1093051605038602,CO,0.09538948315591335,0.6168426063427129,0.2686692730740631,8.95564242684646
RI,54.82619886304728,7.873880763844116,28.168614359083314,18.78370374011985,68138.26315789473,21161.13157894737,9.450000000000001,2.886842105263158,722110.8684210526,816977.3157894737,7.1,1.330985915492958,RI,0.2813963782595026,0.7185262858621921,0.2362164231515399,7.873880763844116,217450.5,32138.115384615383,28.74230769230769,4.165384615384616,753728.6538461539,816708.8461538461,31.4,0.9153601175894169,RI,0.06565716671184925,-1.0154672783021552,0.8450584316175579,28.168614359083314,1058158.0,2019.0,2357.0,2440.0,222.7455635169795,230.81470970793424,1.0352142554094188,RI,0.09538948315591335,-0.15987724413955032,0.5635111127671066,18.78370374011985
MO,54.78874005995004,26.254567859718453,16.989947029420446,11.544225170811137,400436.5263157895,102654.47368421052,9.58421052631579,2.4368421052631577,4177134.263157895,4624498.631578947,10.6,0.9041708043694141,MO,0.2813963782595026,-0.7982491387665382,0.7876370365791906,26.254567859718453,1232944.1538461538,147263.88461538462,28.334615384615386,3.3423076923076924,4345992.769230769,4627553.384615385,28.9,0.9804365184988023,MO,0.06565716671184925,-0.024312707240822063,0.5096984113923118,16.989947029420446,6140475.0,2019.0,30680.0,33385.0,499.63561450864955,542.7089246479097,1.088168187744459,MO,0.09538948315591335,0.39525661950123814,0.3463267554706609,11.544225170811137
OH,54.08670681684062,26.24771042627677,10.122394235243753,17.716602155320093,801337.052631579,201875.15789473685,10.128947368421052,2.5236842105263158,7900111.131578947,8826017.736842105,11.2,0.9043703007518797,OH,0.2813963782595026,-0.7975401872736314,0.7874313135757345,26.24771042627677,2335338.8846153845,284951.3846153846,28.238461538461536,3.376923076923077,8243081.961538462,8827623.307692308,27.8,1.0157719977863862,OH,0.06565716671184925,0.5138688966450307,0.3036718273609844,10.122394235243753,11696507.0,2019.0,34618.0,36104.0,295.9687024510822,308.7601983269446,1.0429256456178866,OH,0.09538948315591335,-0.07903614978260139,0.5314980651911009,17.716602155320093
